,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
205,000063.SZ,20181017,16.1,16.29,15.75,16.18,15.7,0.4800000000000004,3.0573,1102614.97,1771029.606
206,000063.SZ,20181016,16.02,16.1,15.58,15.7,15.97,-0.27000000000000135,-1.6907,704824.01,1112750.532
207,000063.SZ,20181015,15.57,16.62,15.5,15.97,15.6,0.370000000000001,2.3718,1190215.27,1908697.897
208,000063.SZ,20181012,15.0,15.85,14.5,15.6,15.17,0.4299999999999997,2.8345,1377086.22,2082670.611
209,000063.SZ,20181011,16.08,16.08,15.17,15.17,16.85,-1.6800000000000015,-9.9703,1297972.49,2019815.588
210,000063.SZ,20181010,16.82,17.13,16.68,16.85,16.8,0.05000000000000071,0.2976,629573.14,1063079.805
211,000063.SZ,20181009,16.83,17.08,16.5,16.8,16.81,-0.00999999999999801,-0.0595,887303.11,1491383.226
212,000063.SZ,20181008,16.7,17.38,16.69,16.81,18.3,-1.490000000000002,-8.1421,1557673.04,2651644.145
213,000063.SZ,20180928,18.53,18.58,18.02,18.3,18.38,-0.0799999999999983,-0.4353,859443.33,1570012.65
214,000063.SZ,20180927,18.79,19.07,18.35,18.38,18.92,-0.5400000000000027,-2.8541,1333183.26,2490780.608
215,000063.SZ,20180926,18.66,19.09,18.66,18.92,18.73,0.19000000000000128,1.0144,1526745.86,2885685.83
216,000063.SZ,20180925,18.5,18.73,18.15,18.73,18.59,0.14000000000000057,0.7531,1025196.83,1894671.482
217,000063.SZ,20180921,18.22,18.8,17.95,18.59,18.29,0.3000000000000007,1.6402,1571922.37,2887605.775
218,000063.SZ,20180920,18.18,18.88,17.99,18.29,18.18,0.10999999999999943,0.6051,1545133.79,2854404.983
219,000063.SZ,20180919,18.19,18.46,17.86,18.18,18.44,-0.26000000000000156,-1.41,1445491.55,2626246.744
220,000063.SZ,20180918,18.21,18.5,17.41,18.44,18.34,0.10000000000000142,0.5453,1755402.55,3173921.054
221,000063.SZ,20180917,18.0,18.68,17.82,18.34,18.36,-0.019999999999999574,-0.1089,1255255.61,2303237.41
222,000063.SZ,20180914,18.54,18.66,18.18,18.36,18.55,-0.19000000000000128,-1.0243,1481760.93,2728282.901
223,000063.SZ,20180913,17.9,18.64,17.63,18.55,17.26,1.2899999999999991,7.4739,2368479.44,4280724.889
224,000063.SZ,20180912,17.38,17.65,17.1,17.26,17.45,-0.18999999999999773,-1.0888,928482.11,1608405.625
