ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line
000425.SZ,2018-12-17,,3.3254,2.3277799999999997,False
000425.SZ,2018-08-03,2018-08-30,4.0062,2.80434,False
000425.SZ,2018-08-30,,4.026,2.8181999999999996,False
000426.SZ,2018-11-22,,5.21,3.647,False
000426.SZ,2018-09-19,,5.7,3.9899999999999998,False
000426.SZ,2017-04-20,2018-08-21,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-07-24,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-07-17,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-07-09,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-07-02,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-06-25,7.8631,5.50417,False
000426.SZ,2017-04-20,2018-05-04,7.8631,5.50417,False
000426.SZ,2017-01-17,2017-11-01,8.3509,5.845629999999999,False
000426.SZ,2016-05-05,2017-10-20,7.0669,4.94683,False
000426.SZ,2017-05-12,2017-07-28,7.1166,4.9816199999999995,False
000426.SZ,2016-05-27,2017-04-17,5.9123,4.13861,False
000426.SZ,2017-01-06,2017-04-18,8.5599,5.99193,False
000426.SZ,2016-09-29,2017-04-18,10.0031,7.00217,False
000426.SZ,2016-06-23,2017-04-17,6.9574,4.8701799999999995,False
000426.SZ,2016-04-19,2017-04-17,7.7039,5.392729999999999,False
000426.SZ,2017-01-24,2017-03-20,8.7291,6.1103700000000005,False
000426.SZ,2016-09-06,2016-11-23,10.2619,7.18333,False
000428.SZ,2019-03-15,,3.16,2.2119999999999997,False
000428.SZ,2018-12-05,,2.79,1.9529999999999998,False
000428.SZ,2018-11-02,,2.59,1.8129999999999997,False
000428.SZ,2018-07-04,,2.79,1.9529999999999998,False
000428.SZ,2017-11-08,2018-04-27,4.45,3.1149999999999998,False
000428.SZ,2017-07-19,2018-04-27,4.69,3.283,False
000428.SZ,2016-03-08,2017-03-08,7.0,4.8999999999999995,False
000429.SZ,2016-07-13,2019-08-02,4.959,3.4712999999999994,False
000429.SZ,2018-04-03,2019-08-02,6.8824,4.817679999999999,False
000429.SZ,2018-06-28,2019-08-02,6.6899,4.68293,False
000429.SZ,2018-04-03,,6.8824,4.817679999999999,False
000429.SZ,2016-07-13,,4.959,3.4712999999999994,False
000430.SZ,2018-09-19,2018-12-10,5.89,4.122999999999999,False
000430.SZ,2018-10-17,2018-12-10,4.62,3.234,False
000430.SZ,2018-06-22,2018-12-10,6.36,4.452,False
000430.SZ,2018-10-17,,4.62,3.234,False
000430.SZ,2018-09-21,,6.02,4.2139999999999995,False
000430.SZ,2018-09-19,,5.89,4.122999999999999,False
000430.SZ,2018-06-22,,6.36,4.452,False
000488.SZ,2018-08-16,2019-08-05,6.8481,4.79367,False
000488.SZ,2019-05-27,2019-08-05,5.0741,3.5518699999999996,False
000488.SZ,2019-06-18,2019-07-19,4.9692,3.4784399999999995,False
000488.SZ,2019-07-22,,4.9787,3.4850899999999996,False
000488.SZ,2019-07-23,,4.9978,3.4984599999999997,False
000488.SZ,2019-06-18,,4.9692,3.4784399999999995,False
000488.SZ,2018-09-04,2019-05-28,6.2663,4.38641,False
000488.SZ,2019-05-27,,5.0741,3.5518699999999996,False
000488.SZ,2018-09-03,,6.1805,4.32635,False
000488.SZ,2018-10-11,,5.3125,3.7187499999999996,False
000488.SZ,2019-05-22,,5.1695,3.6186499999999997,False
000488.SZ,2018-10-11,2019-04-18,5.3125,3.7187499999999996,False
000488.SZ,2019-03-20,,6.4857,4.5399899999999995,False
000488.SZ,2019-03-13,,6.5811,4.60677,False
000488.SZ,2018-12-19,,5.5033,3.85231,False
000488.SZ,2018-09-05,2018-12-14,6.2472,4.37304,False
000488.SZ,2018-07-10,2018-12-14,7.1307,4.99149,False
000488.SZ,2018-12-06,,5.7989999999999995,4.0592999999999995,False
000488.SZ,2018-06-25,2018-10-11,7.615,5.3305,False
000488.SZ,2018-08-16,2018-10-11,6.8481,4.79367,False
000488.SZ,2018-09-03,2018-10-11,6.1805,4.32635,False
000488.SZ,2018-07-10,2018-10-11,7.1307,4.99149,False
000488.SZ,2018-09-04,,6.2663,4.38641,False
000488.SZ,2018-09-05,,6.2472,4.37304,False
000488.SZ,2018-07-10,2018-08-30,7.1307,4.99149,False
000488.SZ,2018-08-16,2018-08-30,6.8481,4.79367,False
000488.SZ,2018-06-25,2018-08-30,7.615,5.3305,False
000488.SZ,2018-07-09,2018-08-06,6.9794,4.88558,False
000488.SZ,2017-06-02,2018-06-01,6.6802,4.67614,False
000488.SZ,2017-05-24,2018-05-25,6.287999999999999,4.401599999999999,False
000488.SZ,2016-12-27,2017-12-27,6.0457,4.23199,False
000488.SZ,2016-12-28,2017-12-27,5.9591,4.17137,False
000488.SZ,2016-12-16,2017-12-08,6.3168,4.42176,False
000488.SZ,2016-10-31,,5.4226,3.79582,False
000488.SZ,2016-03-07,2017-09-06,4.1405,2.89835,False
000488.SZ,2016-08-17,2017-08-11,5.2669,3.6868299999999996,False
000488.SZ,2016-08-17,2017-07-21,5.2669,3.6868299999999996,False
000488.SZ,2016-05-31,2017-06-01,4.4303,3.1012099999999996,False
