ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000048.SZ,2016-03-10,2017-02-17,30.89,21.622999999999998,False,
000048.SZ,2016-02-23,2017-02-17,35.37,24.758999999999997,False,
000048.SZ,2016-03-16,2017-01-17,30.39,21.273,False,
000048.SZ,2016-03-11,2017-01-17,31.12,21.784,False,
000048.SZ,2016-01-20,2017-01-17,33.8,23.659999999999997,False,
000048.SZ,2016-02-02,2017-01-17,36.7,25.69,False,
000048.SZ,2016-01-20,2016-09-30,33.8,23.659999999999997,False,
000055.SZ,2017-03-15,2018-03-09,8.958,6.2706,True,2017-11-23
000055.SZ,2017-05-19,2018-03-12,7.2741,5.091869999999999,False,
000055.SZ,2018-03-05,,7.7754,5.44278,True,2018-06-19
000056.SZ,2017-03-16,2018-11-21,12.7636,8.93452,True,2018-10-17
000056.SZ,2016-08-16,2018-08-14,12.8432,8.990239999999998,False,
000056.SZ,2018-08-14,,10.2884,7.201879999999999,True,2018-10-19
000056.SZ,2018-06-04,,9.5926,6.714819999999999,True,2018-10-22
000056.SZ,2018-06-01,,9.6423,6.74961,True,2018-10-22
000056.SZ,2018-06-05,,9.6423,6.74961,True,2018-10-22
000056.SZ,2018-06-06,,9.4534,6.61738,True,2018-10-22
000056.SZ,2018-06-07,,9.4733,6.63131,True,2018-10-22
000056.SZ,2018-06-08,,9.4336,6.60352,True,2018-10-22
000056.SZ,2018-06-12,,9.5031,6.65217,True,2018-10-22
000056.SZ,2016-07-29,,12.1175,8.482249999999999,True,2018-10-18
000056.SZ,2016-07-29,2018-06-08,12.1175,8.482249999999999,False,
000056.SZ,2018-05-07,,9.861,6.9027,True,2018-10-22
000056.SZ,2018-05-09,,9.9405,6.958349999999999,True,2018-10-22
000056.SZ,2018-05-04,,9.8312,6.88184,True,2018-10-22
000056.SZ,2018-05-03,,9.7815,6.847049999999999,True,2018-10-22
000056.SZ,2018-04-25,,10.2686,7.188019999999999,True,2018-10-19
000056.SZ,2018-04-23,,10.3083,7.2158099999999985,True,2018-10-19
000056.SZ,2017-04-12,2018-04-20,12.4952,8.74664,False,
000056.SZ,2018-04-24,,10.2984,7.20888,True,2018-10-19
000056.SZ,2016-07-29,2017-10-31,12.1175,8.482249999999999,False,
