,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
433,000998.SZ,2018-03-22,16.02,14.02,25.03,9262.39,77.67,7.37,2018-10-11,0
434,001696.SZ,2016-06-22,6.49,5.68,10.15,11120.0,48.31,9.71,2018-02-01,0
435,002002.SZ,2017-03-21,5.37,4.7,8.39,37910.00778467909,82.15942010362694,18.55983436853002,2018-06-28,0
436,002008.SZ,2018-07-25,39.74,34.77,49.68,16098.0,99.34,15.09,2018-10-19,0
437,002009.SZ,2018-03-09,10.61,9.29,16.58,5526.0,88.57,14.91,2018-09-10,0
438,002009.SZ,2017-12-19,11.04,9.66,17.25,4147.83,97.82,11.19,2018-09-05,0
439,002009.SZ,2016-10-14,10.77,9.42,16.82,2323.5,57.71,6.37,2018-09-06,0
440,002009.SZ,2016-10-11,11.05,9.66,17.26,2323.5,57.71,6.37,2018-09-05,0
441,002011.SZ,2016-06-17,6.5,5.69,10.16,18000.0,66.58,19.62,2018-10-09,0
442,002026.SZ,2016-09-21,7.37,6.44,11.51,5792.0,54.99,13.79,2018-05-30,0
443,002031.SZ,2017-03-21,2.4,2.1,3.75,18171.7,45.3,8.26,2018-07-05,0
444,002034.SZ,2018-05-17,17.51,15.32,27.36,9921.38,69.45,23.82,2018-09-03,0
445,002034.SZ,2018-01-15,18.09,15.83,28.26,9471.38,66.3,22.74,2018-08-24,0
446,002034.SZ,2017-04-28,19.68,17.22,30.75,437.48,62.7,4.05,2018-08-06,0
447,002034.SZ,2017-04-17,18.13,15.87,28.33,373.38,57.28,3.46,2018-08-24,0
448,002038.SZ,2018-06-26,15.82,13.84,24.72,6450.0,44.66,9.42,2019-07-22,0
449,002043.SZ,2018-03-14,6.96,6.09,10.88,1000.0,19.68,1.16,2018-10-11,0
450,002043.SZ,2018-03-14,6.96,6.09,10.88,15600.0,68.02,18.09,2018-10-11,0
451,002043.SZ,2017-12-21,7.12,6.23,11.13,12600.0,54.94,14.61,2018-10-11,0
452,002043.SZ,2017-05-11,8.41,7.36,13.14,16000.0,66.2,19.32,2018-07-06,0
453,002043.SZ,2016-09-23,8.08,7.07,12.62,12600.0,54.94,14.61,2018-08-06,0
454,002044.SZ,2018-03-08,13.75,12.03,17.18,23523.17,95.28,9.04,2019-07-10,0
455,002050.SZ,2018-01-12,11.96,10.46,14.94,27300.0,34.63,12.88,2019-05-20,0
456,002052.SZ,2016-04-06,6.42,5.62,10.03,12310.7,97.76,16.5,2017-06-01,0
457,002052.SZ,2016-03-22,6.42,5.62,10.03,12245.7,99.47,16.42,2017-06-01,0
458,002055.SZ,2018-01-18,12.15,10.64,18.99,12385.8,88.61,26.51,2018-10-09,0
459,002062.SZ,2017-02-16,4.09,3.58,6.39,29190.0,58.93,26.48,2018-06-19,0
460,002062.SZ,2017-02-08,4.08,3.57,6.38,9130.0,57.39,8.28,2018-06-19,0
461,002067.SZ,2017-11-30,3.79,3.31,5.92,6900.0,38.72,6.11,2018-10-11,0
462,002067.SZ,2017-04-24,3.79,3.32,5.92,10000.0,56.12,9.14,2018-10-11,0
463,002068.SZ,2017-08-17,6.12,5.36,9.56,8375.07,29.02,11.52,2019-05-09,0
